col:taxonID	col:sourceID	col:estimate	col:type	col:referenceID	col:remarks	col:modified	col:modifiedBy	clb:merged
627NP		9	species living	55				
G2C		1	species living	55				
626QK		19	species living	55				
627N6		183	species living	55				
J2Z		22	species living	55				
GY3		27	species living	55				
7QZ		38	species living	30				
49N		2	species living	12				
HJ6		2	species living	30				
3J4		769	species living	3				
8VSPQ		20	species living	3				
8VR4V		650	species living	3				
42B		169	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
G2N		34	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
96H		15	species living	30				
624NJ		2	species living	30				
B7T		11	species living	30				
3CW		27	species living	30				
3HP		6984	species living	30				
622G7		3300	species living	30				
CXM		1200	species living	30				
D2P		160591	species living	3				
B6L67		158570	species living	3				
BJ5MR		30079	species living	3				
KVT23		31600	species living	11				
626BW		800	species living	3				
6263P		50	species living	3				
6278C		27000	species living	3				
7Y		177	species living	3				
PC		10033	species living	35				
B8V3K		392	species living	74				
99F		1	species living	30				
H3		36	species living	24				
8ZXWB		4	species living	24				
367		19	species living	62				
3TL		415	species living	62				
627		15	species living	62				
65P		1900	species living	30				
622SD		84	species living	24				
7TW		7	species living	24				
624BW		4	species living	62				
8NZ		47	species living	24				
98D		3	species living	62				
98R		134	species living	62				
9KQ		15	species living	62				
BZV		74	species living	62				
62366		8	species living	30				
7RZ		3150	species living	30				
98Z		22	species living	30				
625JH		1	species living	30				
BLS		7	species living	30				
625L4		55	species living	30				
627NK		130	species living	30				
GWJ		27	species living	30				
		4	species living	24				
		110	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
625P3		200	species living	30				
626QS		10	species living	30				
XJ		70	species living	12				
HV2		240	species living	30				
F4J		1850	species living	30				
624M3		13	species living	30				
8HN		230	species living	30				
G97		1	species living	30				
BV8H4		17	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
8X6		1	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
946		225	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
95H		2	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
9H9		2000	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
626FJ		25	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
6233J		110	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
CFL		4	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
WK		5	species living	30				
6265Q		470	species living	30				
GXG		5	species living	30				
89R		220	species living	30				
8XP		10	species living	30				
CDB		5200	species living	30				
CZ7		3	species living	30				
DBN		7	species living	30				
625D6		60	species living	30				
D42		2	species living	30				
3ZX		2306	species living	30				
6LN		32	species living	30				
8PR		1	species living	3				
8SW		31	species living	3				
4X3		603	species living	74				
5JB		5385	species living	74				
CH7		350	species living	3				
626GF		50	species living	3				
622G8		570	species living	5				
9MN		1500	species living	3				
C2W		390	species living	3				
CLRKP		12199	species living	74				
BRN		2200	species living	3				
6268M		250	species living	3				
BCF		20	species living	74				
B8TXQ		8659	species living	74				
		502	species living	54				
		10358	species living	54				
3Q2		6571	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
HJC		300	species living	3				
L2QNW		1167	species living	74				
622CG		6008	species living	74				
CVJLH		29	species living	74				
6RX		431	species living	71				
76P		123	species living	71				
624B9		1413	species living	71				
CJBKK		24481	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
622BD		1192	species living	3				
B5		248	species living	3				
GR		4	species living	3				
6227H		7	species living	3				
6LD		7	species living	3				
7TT		28	species living	3				
623WV		3	species living	3				
9KP		126	species living	3				
DKD		93	species living	3				
62624		78	species living	3				
627K2		145	species living	3				
627KV		50	species living	3				
FGK		1	species living	3				
FHC		98	species living	3				
FMY		119	species living	3				
GZM		2	species living	3				
8HJ		571	species living	71				
99V		74	species living	71				
624S6		590	species living	71				
BGR		40	species living	71				
624L3		399	species living	71				
D3X		1657	species living	71				
D8B		146	species living	71				
DBS		16	species living	71				
DGD		35	species living	71				
DRB		212	species living	71				
626V6		26	species living	71				
GC9		70	species living	71				
6236X		271	species living	3				
FJZ		206	species living	71				
HCP		7	species living	3				
8NKDK		9734	species living	7				
3WW		804	species living	3				
5C		1358	species living	74				
B8V3L		187	species living	74				
9CHXG		3930	species living	14				
TR2		15233	species living	3				
43Y		1116	species living	3				
B8VFB		12	species living	40				
B8V3Z		1322	species living	3				
8MP8D		1982	species living	3				
3X3		2109	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
832		73	species living	74				
622LD		273	species living	74				
83R		663	species living	74				
888		650	species living	74				
888		647	species living	74				
6243K		12	species living	74				
62477		80	species living	74				
6247H		60	species living	74				
625DN		11	species living	74				
B9F		14	species living	74				
BD5		59	species living	74				
BSF		15	species living	74				
BTY		22	species living	74				
BTY		23	species living	74				
CLL		12	species living	74				
D8L		595	species living	74				
DKR		268	species living	74				
DYJ		1	species living	74				
F87		12	species living	74				
F8W		7	species living	74				
GTT		111	species living	74				
HFX		70	species living	74				
HFX		71	species living	74				
B8VFN		617	species living	70				
8KTL3		1	species living	70				
8KTL5		1	species living	70				
8KTLJ		46	species living	70				
8KTLM		28	species living	70				
8KTLW		132	species living	70				
8KTM7		23	species living	70				
8KTMB		16	species living	70				
8KTMD		84	species living	70				
8KTMM		169	species living	70				
8MP8V		45	species living	3				
8HBPD		3900	species living	50				
8HBPH		2500	species living	50				
8HBPK		400	species living	50				
8HBPM		1200	species living	50				
8HBPN		6	species living	3				
8NKH2		5241	species living	29				
8NKLN		1	species living	29				
L27J8		1	species living	29				
8NKNX		1	species living	29				
8NKP8		71	species living	29				
625GP		29540	species living	17				
62635		5385	species living	74				
B8V3M		794	species living	74				
7NF3S		15000	species living					
8HBQ5		50000	species living	50				
8HBQ9		1200	species living	50				
8HBR3		70	species living	50				
88M		10	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
8SF		2	species living	72				
8TJ		650	species living	72				
C87		2	species living	72				
CP4		5	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
6F6		40	species living	30				
8LL		5	species living	30				
8SC		1020	species living	30				
H3S		2	species living	30				
558		1130	species living	74				
8MP8K		32	species living	69				
6WV		185	species living	74				
623QL		449	species living	74				
6246Y		496	species living	74				
B8V3N		1	species living	74				
B8VF3		97	species living	74				
9P5		4	species living	3				
34P		149	species living	62				
36		170	species living	74				
7NGLW		21	species living	3				
C3QXD		218	species living	3				
39N		59	species living	3				
623BG		98	species living	3				
3C4		1	species living	3				
623D4		18	species living	3				
3N3		150	species living	3				
3PF		93	species living	3				
3VD		4	species living	3				
6Q2		40	species living	3				
7V8		107	species living	3				
62444		6	species living	3				
623FW		59	species living	3				
6254G		7	species living	3				
BDV		51	species living	3				
CVW		18	species living	3				
D97		145	species living	3				
63		320	species living	40				
BDTX4		171	species living	74				
		1	species living	3				
75X		1	species living	3				
9B8		3	species living	3				
623GB		920	species living	3				
623H3		210	species living	3				
623H6		57	species living	3				
B7R		573	species living	3				
C8B		1500	species living	3				
DGT		110	species living	3				
B6MTL		835	species living	3				
3R4		88	species living	3				
NV		172	species living	3				
4XK		85	species living	74				
4XM		1278	species living	74				
4Y5		792	species living	74				
55B		19	species living	74				
55B		120	species living	74				
55T		499	species living	74				
5DV		833	species living	74				
5PP		20	species living	74				
79B		42	species living	74				
3YX		77	species living	3				
3PZ		37	species living	3				
CRF		1	species living	3				
DL2		6	species living	3				
C3CS6		250	species living	3				
6C5		200	species living	74				
6233D		2917	species living	74				
6KD		5749	species living	74				
8FG		2547	species living	74				
7NF2K		395	species living	36				
C66K2		41	species living	21				
C7Z2J		4	species living	21				
C89X4		1	species living	21				
8W4P5		1	species living					
